6769 sayılı Sınai Mülkiyet Kanunu'nun (SMK) temel amacı nedir?,"Marka, coğrafi işaret, tasarım, patent, faydalı model ve geleneksel ürün adlarına ilişkin hakları koruyarak teknolojik ve ekonomik ilerlemeye katkı sağlamak."
SMK kapsamında sağlanan korumadan hangi gerçek veya tüzel kişiler yararlanabilir?,"Türkiye Cumhuriyeti vatandaşları, Türkiye sınırları içinde yerleşim yeri veya ticari faaliyeti olanlar ve Paris Sözleşmesi/DTÖ üyeleri."
Sınai mülkiyet haklarına ilişkin bilgilerin yer aldığı kayıt ortamına ne ad verilir?,Sicil.
Marka olabilecek işaretlerin temel şartı nedir?,Bir teşebbüsün mallarının/hizmetlerinin diğer teşebbüslerden ayırt edilmesini sağlaması ve sicilde gösterilebilir olması.
Marka tescilinde 'ayırt edici niteliğe sahip olmayan işaretler' hangi ret nedeni kapsamına girer?,Mutlak ret nedenleri (Madde 5).
Dini değerleri veya sembolleri içeren işaretlerin marka olarak tescili mümkün müdür?,"Hayır, mutlak ret nedenleri uyarınca tescil edilemezler."
Marka tescilinde 'nispi ret nedenleri' temel olarak hangi duruma dayanır?,"Önceki tarihli bir marka ile aynılık, benzerlik veya karıştırılma ihtimali bulunmasına."
"Tescilli bir markanın, tescil tarihinden itibaren kaç yıl boyunca haklı bir sebep olmadan kullanılmaması iptal nedenidir?",Beş yıl.
Marka tescili için başvuruda rüçhan hakkı süresi kaç aydır?,Altı ay.
"Bültende yayımlanan bir marka başvurusuna, ilgili kişiler yayım tarihinden itibaren kaç ay içinde itiraz edebilir?",İki ay.
Tescilli bir markanın koruma süresi başvuru tarihinden itibaren kaç yıldır?,On yıl.
Marka koruma süresinin sona erdiği tarihten önceki _____ ay içinde yenileme talebi yapılmalıdır.,Altı
SMK uyarınca inhisari lisans (özel lisans) nedir?,Lisans verenin başkasına lisans veremediği ve hakkını saklı tutmadıkça kendisinin de markayı kullanamadığı lisans türüdür.
Marka hakkından vazgeçme işlemi ne zaman hüküm doğurur?,Sicile kayıt tarihi itibarıyla.
Başkasına ait marka hakkına tecavüz ederek mal üreten veya satan kişi için öngörülen hapis cezası süresi nedir?,Bir yıldan üç yıla kadar.
Garanti markası ile ortak marka arasındaki temel fark nedir?,Garanti markası kaliteyi ve ortak özellikleri garanti ederken; ortak marka belirli bir gruba dahil işletmelerin mal/hizmetlerini ayırt etmeye yarar.
Coğrafi işaretler hangi iki türde tescil edilir?,Menşe adı ve mahreç işareti.
"Üretimi, işlenmesi ve diğer işlemlerinin tamamı belirli bir coğrafi alan içinde gerçekleşen ürünlere verilen ad nedir?",Menşe adı.
Geleneksel ürün adı tescili için ilgili piyasada geleneksel olarak en az kaç yıl süreyle kullanım kanıtlanmalıdır?,Otuz yıl.
Coğrafi işaret başvuruları Bültende yayımlandıktan sonra üçüncü kişiler kaç ay içinde itiraz edebilir?,Üç ay.
Coğrafi işaretlerde tescil ettirenin amblem kullanma zorunluluğu var mıdır?,"Evet, coğrafi işaretler bakımından amblemin kullanılması zorunludur."
Tasarım koruması için aranan iki temel şart nedir?,Yenilik ve ayırt edici nitelik.
İlk kez Türkiye'de kamuya sunulmuş bir tasarımın tescilsiz olarak koruma süresi ne kadardır?,Üç yıl.
Tescilli bir tasarımın toplam koruma süresi yenilemelerle birlikte en fazla kaç yıla kadar uzatılabilir?,Yirmi beş yıl.
"Birleşik bir ürünün parçası, ürünün normal kullanımında _____ durumda değilse tasarım korumasından yararlanamaz.",Görünür
Tasarım tescil başvurusunda yayım erteleme talebi en fazla kaç ay için yapılabilir?,Otuz ay.
Çalışanların bir işletmede yükümlü olduğu faaliyeti gereği yaptığı tasarımlarda hak sahibi kimdir?,Aksi kararlaştırılmadıkça işverendir.
Patent verilebilirlik şartları (üçlü kriter) nelerdir?,"Yenilik, buluş basamağı ve sanayiye uygulanabilir olma."
"Bilgisayar programları, keşifler ve matematiksel yöntemler tek başlarına 'buluş' niteliğinde sayılır mı?","Hayır, SMK Madde 82 uyarınca buluş niteliğinde sayılmazlar."
Buluşun yeni kabul edilmesi için hangi tarihten önce dünyanın herhangi bir yerinde açıklanmamış olması gerekir?,Başvuru veya rüçhan tarihinden önce.
İlgili teknik alandaki uzmana göre aşikâr olmayan buluşlar _____ özelliğine sahip kabul edilir.,Buluş basamağı
Bir patent başvurusunda korunması talep edilen konunun sınırlarını belirleyen bölüme ne ad verilir?,İstemler (Claims).
Patent koruma süresi başvuru tarihinden itibaren kaç yıldır?,Yirmi yıl.
Faydalı model koruma süresi başvuru tarihinden itibaren kaç yıldır?,On yıl.
"Patente itiraz, patentin verilmesi kararının yayımlanmasından itibaren kaç ay içinde yapılabilir?",Altı ay.
"Patent yıllık ücretlerinin vadesinde ödenmemesi durumunda, ek ücretle birlikte ödeme yapılabilecek ek süre ne kadardır?",Altı ay.
"Patent başvuru sahibi, işlemleri devam eden başvurusunu hangi türe dönüştürmeyi talep edebilir?",Faydalı model başvurusu.
"Hizmet buluşu yapan bir çalışan, buluşunu işverene nasıl bildirmelidir?",Yazılı olarak ve geciktirmeksizin.
"İşveren, çalışanın hizmet buluşu bildirimi üzerine tam hak talep ettiğini kaç ay içinde bildirmelidir?",Dört ay.
"Kamu kurumlarında çalışanlara buluşları için ödenecek bedel, elde edilen gelirin en az kaçta biri olmalıdır?",Üçte biri.
Yükseköğretim kurumlarında (üniversitelerde) gerçekleştirilen buluşlarda gelir paylaşımı nasıl yapılır?,Gelirin en az üçte biri buluşu yapana verilir.
Asıl patentin konusu ile bütünlük içinde olan ancak onu mükemmelleştiren buluşlar için hangi başvuru türü yapılır?,Ek patent başvurusu.
Millî güvenlik açısından önem taşıyan buluşlar için TÜRKPATENT hangi makamın görüşünü alır?,Millî Savunma Bakanlığı.
Patentte zorunlu lisansın en yaygın verilme nedenlerinden biri nedir?,Patent konusu buluşun haklı bir sebep olmadan kullanılmaması.
"Zorunlu lisans bedeli konusunda taraflar anlaşamazsa, bedel kim tarafından tespit edilir?",Mahkeme.
Faydalı model tescili için ek başvuru yapılması mümkün müdür?,"Hayır, ek başvuru sadece patentler için mümkündür."
Patent hakkı üzerinde 'rehin' verilmesi işlemi iyiniyetli üçüncü kişilere karşı ne zaman hüküm doğurur?,Sicile kayıt tarihinden itibaren.
Marka örneğinde Latin alfabesi dışında harf kullanılmışsa başvuruda ne belirtilmelidir?,Harflerin Latin alfabesindeki karşılığı.
Marka tescilinde 'kötüniyetle yapılan başvurular' hangi ret nedeni grubundadır?,Nispi ret nedenleri (Madde 6).
Coğrafi işaretin ürünün 'öz adına' (genel adına) dönüşmüş olduğu kabul edilebilir mi?,"Hayır, tescil edilen coğrafi işaretlerin öz adına dönüşmüş olduğu kabul edilmez."
"Biyolojik materyal içeren buluşlarda, materyalin tevdi edilmesi hangi şartı sağlamak içindir?",Buluşun yeterince açık ve tam olarak açıklanması şartını.
Patent başvurusunun yayımlanması normal şartlarda başvuru tarihinden itibaren kaçıncı ayda gerçekleşir?,On sekizinci ayda.
Bir tasarımın bilgilenmiş kullanıcı üzerinde bıraktığı genel izlenim önceki tasarımlardan farklıysa o tasarım _____ niteliğe sahiptir.,Ayırt edici
SMK uyarınca 'çalışan' tanımına kamu görevlileri dahil midir?,"Evet, kamu görevlileri de çalışan tanımı kapsamındadır."
Patent başvurusu için gerekli unsurlardan biri olan 'Özet'in temel amacı nedir?,Sadece teknik bilgi vermek (koruma kapsamını belirlemede kullanılmaz).
"Yenilenmeyen bir markanın koruma süresi bittikten sonra, aynı/benzer marka başvurusu kaç yıl boyunca önceki hak sahibi tarafından engellenebilir?",İki yıl (önceki markanın kullanılmış olması şartıyla).
Geleneksel ürün adlarının amblemsiz kullanımı SMK hükümlerine tabi midir?,"Hayır, amblemsiz kullanım SMK hükümlerine tabi değildir."
"Tasarım hakkına tecavüz davalarında, ürün üzerinde tescil kaydı bulunmaması eylemi tecavüz olmaktan çıkarır mı?","Hayır, çıkarmaz; ancak kusur değerlendirmesinde dikkate alınır."
"Zorunlu lisans alan kişinin, lisans konusu ürünü 'ithal etme' yetkisi genel olarak var mıdır?","Hayır, sadece kamu yararı gerekçesiyle verilen lisansta açıkça yetki verilmişse mümkündür."
Patent başvurusunda 'buluş bütünlüğü' neyi ifade eder?,Başvurunun tek bir buluşu veya tek bir genel buluş fikrini oluşturan buluşlar grubunu içermesini.
Marka başvurusunda 'muvafakatname' (noter onaylı) sunulması hangi engeli aşabilir?,Önceki tarihli aynı/benzer marka nedeniyle mutlak ret (Madde 5/1-ç) engelini.
"SMK Book 4 uyarınca, sanayinin herhangi bir dalında üretilebilir veya kullanılabilir olan buluşlar _____ özelliğine sahiptir.",Sanayiye uygulanabilir
"Paris Sözleşmesi kapsamındaki rüçhan hakkı belgeleri, marka başvurusu tarihinden itibaren kaç ay içinde sunulmalıdır?",Üç ay.
Kamuya sunma; tasarımın gizlilik şartıyla üçüncü bir kişiye açıklanmasını kapsar mı?,"Hayır, gizlilik şartıyla yapılan açıklama kamuya sunma sayılmaz."
Tescilli coğrafi işaretlerin denetim raporları kaç yılda bir Kuruma sunulur?,Yılda bir.
Tasarım başvurusunda 'görsel anlatım' üzerinde yer alan yazılı ibareler inhisari hak sağlar mı?,"Hayır, ifade ettikleri kavramlar üzerinde inhisari hak sağlamazlar."
Patent isteme hakkı kime aittir?,Buluşu yapana veya onun haleflerine.
Öğrencilerin ve stajyerlerin yükseköğretim kurumlarında yaptığı buluşlarda SMK'nın hangi hükümleri uygulanır?,Çalışanların buluşlarına ilişkin hükümler.
Zorunlu lisansın iptali hangi durumda mahkemeden istenebilir?,Zorunlu lisansın verilmesine neden olan şartların sona ermesi halinde.
Marka tecavüzü davalarında 'şikayet' şartı var mıdır?,"Evet, cezai hükümlerin uygulanması şikayete bağlıdır."
"Bir patentin hükümsüzlüğüne karar verilmesi, ek patentlerin de mutlaka hükümsüz olması sonucunu doğurur mu?","Hayır, ek patentlerin bağımsız patente dönüştürülmesi talep edilebilir."
"Tescilsiz bir markanın sağladığı haklar, sonraki tarihli bir marka başvurusuna karşı nasıl ileri sürülür?",İtiraz yoluyla (Madde 6/3).
"SMK uyarınca, 'Kurul' hangi daire başkanlığı bünyesinde yer alır?",Yeniden İnceleme ve Değerlendirme Dairesi Başkanlığı.