Sınai Mülkiyet Kanununun Uygulanmasına Dair Yönetmeliğin temel amacı nedir?,"Marka, coğrafi işaret, tasarım, patent, faydalı model ve geleneksel ürün adlarına ilişkin hakların belge verilerek korunması ve ilgili işlemlerin usul ve esaslarını düzenlemektir."
"Coğrafi işaretler bakımından kullanılması zorunlu olan, ürün veya ambalaj üzerinde yer alan işarete ne ad verilir?",Amblem
Genetik bilgi içeren ve kendi kendine üreyebilen her türlü maddeye ne denir?,Biyolojik materyal
"Marka, tasarım, coğrafi işaret ve geleneksel ürün adlarında hak sahiplerini Kurum nezdinde temsil eden kişilere ne ad verilir?",Marka vekili
"Patent, faydalı model ve tasarım haklarına ilişkin konularda hak sahiplerini Kurum nezdinde temsil eden kişilere ne ad verilir?",Patent vekili
Sınai mülkiyet hakkı kavramı hangi unsurları kapsar?,"Marka, coğrafi işaret, tasarım, patent ve faydalı model."
Marka tescili için Kuruma başvuruda bulunabilecek kişiler kimlerdir?,Sınai Mülkiyet Kanunu'nun 3 üncü maddesi kapsamındaki gerçek veya tüzel kişiler.
Bir marka başvurusunun geçerli sayılması için başvuru formunun hangi ortamda doldurulması zorunludur?,Elektronik ortam
Marka başvuru formunda mal veya hizmetlerin hangi sınıflandırma sistemine göre düzenlenmesi gerekir?,Nis Anlaşması
Ses markası tescil talebinde Kuruma sunulması gereken zorunlu materyal nedir?,İşaretin elektronik ortamda dinlemeye ve saklamaya elverişli kaydı.
Üç boyutlu marka başvurularında işaretin en fazla kaç farklı açıdan görünümü sunulabilir?,6
Renk markası başvurularında Kurum tarafından geçerliliği kabul edilen hangi bilginin belirtilmesi zorunludur?,Renk kodu
Hareket markası başvurularında Kuruma sunulması gereken temel materyal nedir?,Hareketi tasvir eden bir görüntü veya hareketsiz/hareketli görüntü dizisi.
Kurum tarafından tespit edilen marka örneği veya gösterim eksikliklerinin giderilmesi için verilen süre ne kadardır?,2 ay
Marka başvuru tarihinin kesinleşmesi için asgari hangi dört unsurun Kuruma verilmiş olması gerekir?,"Kimlik bilgileri içeren imzalı form, marka örneği, mal/hizmet listesi ve başvuru ücretinin ödendiğine dair bilgi."
Birden fazla sınıf içeren başvurularda ilave sınıf ücreti eksikliğinin giderilmesi için tanınan süre nedir?,2 ay
Ortak marka veya garanti markası başvurularında sunulması zorunlu olan ek belge nedir?,Teknik şartname
Teknik şartname eksikliklerinin giderilmesi için başvuru sahibine tanınan süre ne kadardır?,6 ay
Mal veya hizmet listesindeki genel tabirlerin açıklanması için Kurumun verdiği süre ne kadardır?,2 ay
Muvafakatnamenin (Consent) geçerli olması için hangi makam tarafından onaylanmış olması zorunludur?,Noter
Kuruma sunulan bir muvafakatname geri alınabilir mi?,"Hayır, muvafakatname Kuruma sunulduktan sonra geri alınamaz."
Bir marka başvurusu hangi yayında yayımlanarak ilan edilir?,Bülten
Tescil ücretinin eksik ödenmesi durumunda eksikliğin giderilmesi için verilen ek süre ne kadardır?,1 ay
Marka tescil başvurusunun bölünmesi (division) en geç ne zamana kadar talep edilebilir?,Başvuru tescil edilene kadar.
Bölünmüş marka başvuruları tekrar birleştirilebilir mi?,"Hayır, bölünmüş başvurular tekrar birleştirilemez."
Tescilli bir markanın yenilenmesi (renewal) için kime ve nasıl başvurulmalıdır?,Marka sahibinin talebi ve yenileme ücretinin ödenmesi ile Kuruma başvurulur.
Kısmi yenileme (partial renewal) nedir?,Markanın tescil kapsamındaki mal veya hizmetlerin sadece bir kısmı için yenilenmesidir.
Marka lisansının Sicile kaydedilebilmesi için sunulması gereken temel belge nedir?,Lisans sözleşmesi
Marka başvurusunda yer alan marka örneği üzerinde düzeltme talebiyle değişiklik yapılabilir mi?,"Hayır, marka örneği veya mal/hizmet listesinde değişiklik içeren düzeltme talepleri kabul edilmez."
"Birden fazla başvuru sahibi varsa, başvurunun geri çekilmesi için kimlerin imzası gerekir?",Tüm sahiplerin imzası gerekir.
Uluslararası bir tescilin (Madrid Protokolü) ulusal tescile dönüştürülmesi talebi iptal tarihinden itibaren ne kadar sürede yapılmalıdır?,3 ay
Yayımlanmış bir marka başvurusuna karşı yayıma itiraz süresi ne kadardır?,2 ay
İtiraz sahibinin markasını son beş yıldır kullandığını ispatlaması talebi (kullanımın ispatı) ne zaman yapılmalıdır?,Başvuru sahibinin itiraza karşı görüş sunması gereken süre içinde.
Kullanımın ispatı için sunulabilecek delil türlerine üç örnek veriniz.,"Ambalaj, fiyat listesi ve fatura."
Kurum kararlarına karşı itiraz (karara itiraz) süresi kararın bildiriminden itibaren ne kadardır?,2 ay
Karara itirazlar Kurumun hangi birimi tarafından incelenir?,Yeniden İnceleme ve Değerlendirme Dairesi Başkanlığı bünyesindeki Kurul.
İtiraz incelemesi sırasında tarafların arabulucuya başvuracaklarını bildirmeleri halinde inceleme ne kadar süreyle ertelenir?,3 ay
"Coğrafi işaret başvurularında, ürünün niteliğinin coğrafi alanla bağlantısını kanıtlayan belgeler sunulmalı mıdır?","Evet, bu belgelerin sunulması zorunludur."
Geleneksel ürün adı başvurularında coğrafi alan sınırı belirtilmesi zorunlu mudur?,"Hayır, geleneksel ürün adlarında coğrafi alan sınırı tanımlama zorunluluğu yoktur (üretime odaklıdır)."
Coğrafi işaret ürün grupları listesinde 'Bal' hangi kategoridedir?,Kendi başına bağımsız bir ürün grubu kategorisidir.
Yabancı dildeki delillerin tercümesi için Kurum tarafından verilen süre ne kadardır?,2 ay
Ortak markanın kısmen yenilenmesi için grup işletmeleri nasıl hareket etmelidir?,Gruba dahil işletmelerin tümü birlikte hareket etmelidir.
Marka hakkından vazgeçme (renunciation) talebi vekil aracılığıyla yapılıyorsa vekilin hangi yetkiye sahip olması gerekir?,Vazgeçme yetkisini açıkça içeren bir vekâletnameye.
Madrid Protokolü kapsamında yer değiştirme (replacement) işlemi için gereken asgari şart nedir?,Ulusal ve uluslararası başvuruların aynı sahip adına olması.
Kullanımın ispatı talebi sonrasında itiraz sahibine delil sunması için verilen süre ne kadardır?,1 ay
Uzlaşma davetine taraflardan birinin süresi içinde cevap vermemesi ne anlama gelir?,Uzlaşma daveti reddedilmiş sayılır.
Arabuluculuk süreci sonunda düzenlenen tutanağın aslı ne kadar sürede Kuruma verilmelidir?,Uzlaşma faaliyetinin sona ermesinden itibaren 1 ay içinde.
T.C. vatandaşı gerçek kişiler için marka başvurusunda hangi kimlik numarasının bildirilmesi zorunludur?,T.C. kimlik numarası
Marka örneğinde Latin alfabesi dışında harfler varsa başvuru formunda ne belirtilmelidir?,Bu harflerin Latin alfabesindeki karşılığı.
Sergi rüçhanı belgesi hangi durumlarda sunulur?,Ulusal veya uluslararası sergilerdeki teşhire dayanan rüçhan hakkı taleplerinde.