"Faydalı model başvurusu için araştırma talebi, bildirimden itibaren en geç ne kadar sürede yapılmalıdır?",İki ay içinde.
Faydalı model araştırma talebi süresi içinde yapılmazsa başvurunun akıbeti ne olur?,Başvuru geri çekilmiş sayılır.
Faydalı model araştırma raporu düzenlenmesi için başvurunun hangi şartlara uygun olması gerekir?,Şekli şartlara uygunluk bakımından eksikliğinin olmaması veya eksikliklerin süresinde giderilmesi.
"Faydalı model araştırma raporu, tarifnamenin tamamı dikkate alınarak hangi unsurlar itibarıyla düzenlenir?",İstemler itibarıyla.
Faydalı modelin yenilik değerlendirmesinde hangi özellikler dikkate alınmaz?,Buluş konusuna katkı sağlamayan teknik özellikler.
Faydalı model araştırma raporu düzenlenirken hangi üçüncü taraf beyanları dikkate alınır?,Buluşun faydalı model verilebilirliğine ilişkin görüşler.
"Araştırma raporunda, başvurunun Kanun hükümlerine uygun olmadığı tespit edilirse ne yapılması zorunludur?",Verilememe nedenlerinin gerekçeleriyle açıklanması ve dayanaklarının belirtilmesi.
Araştırma raporunda belirtilen dokümanlar ile istemler arasındaki ilişki nasıl gösterilir?,Her bir dokümanın hangi istemlerle ve hangi kısımlarla ilgili olduğu belirtilerek.
"Araştırma raporu, buluşun hangi uluslararası standarda göre sınıflandırmasını içermelidir?",Uluslararası sınıflandırma (IPC).
Özet ve buluş başlığı teknik bilgi verme amacına hizmet etmiyorsa kim tarafından yeniden düzenlenir?,Kurum (Türk Patent ve Marka Kurumu).
Araştırma raporu hazırlandıktan sonra başvuru sahibine ne ile birlikte bildirilir?,Raporda belirtilen dokümanların birer kopyası ile birlikte.
"Araştırma raporu, başvuru yayımından önce hazırsa ne zaman yayımlanır?",Başvuru ile birlikte.
"Araştırma raporu düzenlenemeyeceği bildirilen başvuru sahibine, itiraz veya değişiklik sunması için kaç ay süre verilir?",Üç ay.
Araştırma raporunun yayımlanmasından itibaren içeriğe itiraz süresi ne kadardır?,Üç ay.
Faydalı model belgesinin düzenlenebilmesi için hangi ücretin ödenmesi gerekir?,Belge düzenleme ücreti.
Faydalı modele ilişkin açık bir hüküm bulunmayan hallerde hangi hükümler uygulanır?,Patentler için öngörülen hükümler.
Kurum nezdinde vekillik yapacak kişinin sahip olması gereken temel yetki nedir?,Kurum nezdinde vekillik yapma yetkisini haiz olması.
"Sunulan vekâletname aslına uygun değilse, vekil tarafından onaylanırken neyi içermesi zorunludur?",Onay tarihini.
Vekâletname eksikliğinin giderilmesi için vekile verilen süre ne kadardır?,İki ay.
Vekâletname eksikliği giderilmezse ve başvuru sahibinin Türkiye'de yerleşim yeri yoksa başvurunun akıbeti ne olur?,Başvuru veya talep yapılmamış sayılır.
Vekil aracılığıyla haktan vazgeçme işlemi yapılabilmesi için vekâletnamede ne bulunmalıdır?,Bu yetkileri açıkça belirten özel yetki.
Birden fazla vekilin tayin edildiği durumlarda bildirim kime yapılır?,Vekillerden herhangi birine yapılan bildirim yeterlidir.
Tüzel kişi vekiller için düzenlenen vekâletnamede temsil yetkisi kime verilir?,Sadece tüzel kişiye.
Sınai mülkiyet haklarının devrinin Sicile kaydedilmesi için hangi sözleşmenin sunulması zorunludur?,Devir sözleşmesi.
Patent devir işlemlerinde sözleşmede veya formda belirtilmesi zorunlu olan mali bilgi nedir?,Devir bedeli.
Markanın kısmi devri durumunda sözleşmede neler belirtilmelidir?,Devredilen mal veya hizmetler ve sınıf numaraları.
"Tasarımın kısmi devrinde, devredilen unsurlar sözleşmede nasıl belirtilir?",Tasarım sıra numaraları tek tek belirtilerek.
Marka veya tasarımın kısmi devri halinde devralan adına ne oluşturulur?,Yeni bir tescil numarası ile yeni bir dosya.
Kısmen devredilen haklarda koruma süresi ve başlangıç tarihi değişir mi?,"Hayır, değişmez."
Ticaret şirketlerindeki birleşme sonucu hak sahibi değişikliği için hangi belge Kuruma sunulabilir?,Türkiye Ticaret Sicili Gazetesi bilgisi veya belgesi.
"Marka, tasarım ve patent işletmeden bağımsız olarak _____ edilebilir.",haczedilebilir
"Sınai mülkiyet hakkının haczedilmiş olması, hakkın devrine engel teşkil eder mi?","Hayır, devrine engel değildir."
Sınai mülkiyet rehni Sicile kaydedildikten sonra hangi sicile bildirilir?,Rehinli Taşınır Siciline.
Rehinli bir hakkın cebri icra yoluyla satılması durumunda rehin nasıl terkin edilir?,Satışa ilişkin belgenin Kuruma sunulması ile.
"Alacaklı rehni terkin etmeyi reddederse, hak sahibi rehnin terkini için ne yapmalıdır?",Dava açmalı ve kesinleşmiş mahkeme kararını Kuruma sunmalıdır.
Unvan veya tür değişikliği Sicile kaydedildiğinde hangi haklara uygulanır?,Hak sahibi adına kayıtlı tüm sınai mülkiyet haklarına ve başvurulara.
Sınai mülkiyet hakkı sahibinin adres değişikliği bildirimi için ücret ödenmesi gerekir mi?,"Hayır, sadece talep formu yeterlidir."
Miras yoluyla intikal işleminin Sicile kaydı için hangi belgenin sunulması gerekir?,Mirasçılık belgesi (veya noter onaylı örneği).
Miras yoluyla intikal hükümleri hangi sınai mülkiyet hakkı türü için uygulanmaz?,Coğrafi işaretler.
Kurum tarafından yapılan bildirimlerde hangi tarih esas alınır?,Tebliğ tarihi.
Çevrim içi yolla yapılan başvurularda belgelerin aslına uygunluğu kimin sorumluluğundadır?,Başvuru veya talep sahibinin.
Hatalı veya mükerrer yapılan ödemeler talep halinde ne yapılır?,İade edilir.
"Makul şüphe durumunda Kurum, işlemlerle ilgili ne tür ek kanıtlar isteyebilir?",Noter onayı dahil her türlü delilin ibrazını.
Yabancı dilde sunulan belgelerin onaylı tercümesi süresinde sunulmazsa ne olur?,Söz konusu belgeler dikkate alınmaz.
Tescilli haklara ilişkin sicillerin durumu nedir?,Siciller alenidir (herkese açıktır).
Yayımlanmış patent başvurularında sicil suretiyle birlikte ek olarak neler talep edilebilir?,"Tarifname, istem, özet, resimler ile araştırma ve inceleme raporları."
Ücretlerin eksik ödenmesi halinde bu eksikliğin giderilmesi için tanınan süre nedir?,Bir ay.
Eksiklik bildirimindeki süre içinde eksiklik giderilmezse talebin akıbeti ne olur?,Talep yapılmamış sayılır.
Faydalı model araştırma raporunda hangi tarihten önce yayımlanan dokümanlar ayırt edici şekilde belirtilir?,Rüçhan tarihinden önce.
Vekâletname sunulması zorunlu olan hallerde aslı yerine ne sunulabilir?,Vekil tarafından aslına uygunluğu onaylanmış sureti.
"Rehnin sona erme nedenlerinden biri, rehnin bir _____ bağlanmış olmasıdır.",şarta veya süreye
"Sınai mülkiyet haklarının rehni, hakkın sona ermesine engel olur mu?","Hayır, ücretlerin yatırılmaması gibi nedenlerle hakkın sona ermesine engel olmaz."
Tebliğde belirtilen hangi ücret yatırılmadığında faydalı model başvurusu geri çekilmiş sayılır?,Araştırma talebi ücreti.
Henüz tescil edilmemiş bir marka başvurusuna ilişkin bilgiler üçüncü kişilere ne zaman verilebilir?,Sadece başvurunun Bültende yayımının ardından.
Eski KHK'lara yapılan atıflar hukuki olarak nasıl değerlendirilir?,Yeni Yönetmeliğe yapılmış sayılır.
Coğrafi işaretli ürünlerin faaliyet bildirimleri hangi tarihe kadar yapılmalıydı?,10/7/2017 tarihine kadar.
Coğrafi işaretlerin denetim raporlarının sunulması için son tarih neydi?,10/1/2018.
Çevrim içi işlemlerde gerçeğe aykırı belge sunmanın sorumluluğu kime aittir?,İşlemi yapan başvuru veya talep sahibine.
Araştırma raporu başvuru yayımından sonra hazırlandığında nasıl yayımlanır?,Başvurudan ayrı olarak.
Vekâletname üzerinde hangi kimlik bilgilerinin yer alması zorunludur?,Vekâlet verenin ve alanın kimlik bilgileri.
Tüzel kişi değişikliklerinde Sicile kayıt için yabancı dildeki belgelerin ne tür tercümesi istenir?,Yeminli tercüman tarafından onaylanmış Türkçe tercümesi.
Yıllık ücret ödemesi ek süresi dolmamış patentler için hangi madde hükümleri uygulanır?,Geçici Madde 3 uyarınca 106 ncı maddenin dördüncü fıkrası.
"Araştırma raporunda, başvuru tarihinden önceki sözlü açıklamalar ne ile birlikte belirtilir?",Yayım tarihi ve varsa yazılı olmayan açıklamanın tarihi ile birlikte.
Vekil aracılığıyla yapılan işlemlerde daha önce sunulan vekâletname hangi durumda yeniden istenmez?,Talep edilen işlemi kapsıyorsa ve gerekli bilgiler verilmişse.
Haciz işlemi sicile kaydedildikten sonra nerede yayımlanır?,Bültende.
Rehin sözleşmesinin yabancı dilde olması durumunda ne yapılması gerekir?,Onaylı Türkçe tercümesinin sunulması.
Adres değişikliği sicil kaydı başvuru sahibinin hangi haklarını kapsar?,Adına kayıtlı tüm sınai mülkiyet haklarını ve başvurularını.
Yeni bir başvurudaki adres Kurum kayıtlarından farklıysa ne yapılır?,Yeni başvuruda beyan edilen adres Sicile kaydedilir.
"Sınai mülkiyet hakkı başvurusunun rehni, işlemden kalkmasına engel olur mu?","Hayır, belgelerin süresinde gönderilmemesi nedeniyle işlemin durmasını engellemez."
Kurumun işlem formları hangi ortamda kullanıma sunulur?,Elektronik ortamda.
E-Devlet üzerinden yapılan başvurularda kimlik doğrulama işlemi nasıl gerçekleşir?,E-Devlet Kapısı üzerinden.
İhtilaf halinde hangi kayıtlar esas alınır?,Kurum kayıtları.
Tescil belgesi sureti alabilmek için hangi iki temel belge/bilgi gereklidir?,Talep formu ve ücretin ödendiğini gösterir bilgi.
Ücret dışında bir eksiklik tespit edildiğinde giderilmesi için ne kadar süre verilir?,Bir ay.
"Yayıma itiraz ücreti hariç, eksikliği giderilmeyen taleplerde ücret iade edilir mi?","Evet, talep halinde iade edilir."
Hangi durumlarda Kurum vekâletnamenin noter onaylı suretini isteyebilir?,Gerekli gördüğü hallerde.
Faydalı model araştırma raporunda rüçhan ve başvuru tarihleri arasındaki dokümanlar nasıl belirtilir?,Ayırt edici bir şekilde.
Ortak hükümler kapsamında geleneksel ürün adları sicili için 'aleniyet' ilkesi geçerli midir?,"Evet, sicil alenidir."
Başvurunun tüm istemlerinin araştırılamaz olması durumunda başvuru sahibine ne kadar süre tanınır?,Üç ay.
Yönetmeliğin yürütülmesinden kim sorumludur?,Türk Patent ve Marka Kurumu Başkanı.