Sicil ve Disiplin Yönetmeliği'ne göre 'marka vekili' hangi konularda danışmanlık yapma yetkisine sahiptir?,"Marka, coğrafi işaret, geleneksel ürün adları ve tasarım konularında."
Patent vekilliği ve marka vekilliği sınavları kaç yılda bir yapılır?,İki yılda bir.
Gerçek kişilerin patent veya marka vekili olabilmesi için hangi vatandaşlık şartını taşıması gerekir?,Türkiye Cumhuriyeti vatandaşı olmak.
Vekil olabilmek için gereken asgari eğitim düzeyi nedir?,En az dört yıllık lisans eğitimi veren bir yükseköğretim kurumundan mezun olmak.
Kasten işlenen bir suçtan dolayı en az ne kadar süreyle hapis cezası alanlar vekil olamazlar?,Beş yıl veya daha fazla süreyle.
Tüzel kişi patent veya marka vekilleri hangi şirket türlerinde kurulmak zorundadır?,Limited veya anonim şirket.
"Bir gerçek kişi vekil, vekillik yetkisini aynı anda kaç tüzel kişi vekili temsil ederek kullanabilir?",Sadece bir tüzel kişi vekili.
"Vekillik yetkisini tüzel kişi vekili temsilen kullanan bir gerçek kişi, aynı zamanda kendi adına vekillik yapabilir mi?","Hayır, gerçek kişi vekil olarak vekillik yapamaz."
Vekil sınavı hangi iki aşamadan oluşur?,Genel yeterlik sınavı ve mesleki yeterlik sınavı.
"Genel yeterlik sınavı ilanı, sınav tarihinden en az kaç gün önce Kurum internet sitesinde yayımlanır?",En az altmış gün önce.
Sınav yerinin ilanı sınav tarihinden en az kaç gün önce yapılmalıdır?,En az yedi gün önce.
Mesleki yeterlik sınavına girmeye hak kazananların listesi sınavdan en az kaç gün önce ilan edilir?,En az on beş gün önce.
Genel yeterlik sınavı hangi formatta yapılır?,Çoktan seçmeli test.
Genel yeterlik sınavında sınai mülkiyet mevzuatının toplam puandaki ağırlığı yüzde kaçtır?,Yüzde seksen ($80$).
"Genel yeterlik sınavında hukuk konularının (Medeni, Borçlar, Ticari İşletme) ağırlığı yüzde kaçtır?",Yüzde yirmi ($20$).
Genel yeterlik sınavında başarılı sayılmak için yüz tam puan üzerinden en az kaç puan alınmalıdır?,En az yetmiş puan.
Genel yeterlik sınavı soruları sınavdan itibaren en geç kaç gün içinde ilan edilir?,En geç on gün içinde.
"Sınav sorularına itiraz, soruların ilan edildiği tarihten itibaren en geç kaç gün içinde yapılmalıdır?",En geç yedi gün içinde.
Sınavda bir sorunun iptal edilmesi durumunda puanlama nasıl yapılır?,İptal edilen sorunun bütün adaylar tarafından doğru cevaplandığı kabul edilir.
"Genel yeterlik sınavı sonuçlarına itiraz süresi, sonuçların ilanından itibaren kaç gündür?",En geç yedi gün.
Mesleki yeterlik sınavı hangi formatta yapılır?,Yazılı olarak.
Mesleki yeterlik sınavı sonuçları sınav tarihinden itibaren en geç kaç gün içinde ilan edilir?,En geç otuz gün içinde.
Mesleki yeterlik sınavında başarısız olan adayın itiraz süresi kaç gündür?,En geç on gün.
Genel yeterlikte başarılı olup mesleki yeterlikte başarısız olan adayın bir sonraki sınav dönemindeki hakkı nedir?,Bir sonraki ilk sınavda mesleki yeterlik sınavına doğrudan katılabilir.
Mesleki yeterlik sınavını kazananların vekillik yapabilmesi için hangi şartı yerine getirmesi zorunludur?,Sicile kayıt olmaları.
Vekillerin Sicile kayıt sırasında yaptırması zorunlu olan sigorta türü nedir?,Mesleki sorumluluk sigortası.
"Gerçek kişi vekillerin Kuruma sunduğu vergi dairesi belgesi, ibraz tarihinden en fazla kaç ay önce alınmış olmalıdır?",En fazla üç ay önce.
Sicil kaydı ne zaman sona erer?,Mesleki sorumluluk sigortası poliçesinin bitiş tarihi itibarıyla.
Hangi Kanuna tabi olarak çalışan memurların Sicile kaydı yapılamaz?,657 sayılı Devlet Memurları Kanunu.
Sicil kaydı hangi belgeye dayalı olarak her yıl yenilenir?,Yeni mesleki sorumluluk sigorta poliçesine göre.
Vekilin vekillikten çıkarma cezası alması durumunda Sicilde hangi işlem yapılır?,Vekilin kaydı Sicilden silinir.
Sicilden silinmeyi gerektiren hali sona eren bir vekilin tekrar kayıt olma hakkı var mıdır?,"Evet, bu durumu ispat eden vekil yeniden kayıt hakkı kazanır."
"Vekil, yanında çalışanların meslek kurallarına uyması konusunda önlem almazsa neyle sorumlu tutulur?",Vekilin kendisinin meslek kurallarını ihlali olarak kabul edilir.
Vekillerin saldırgan pazarlama yöntemleri kullanarak müvekkillere yaklaşması meslek kurallarına uygun mudur?,"Hayır, salt iş sağlamak amacıyla saldırgan pazarlama yöntemi kullanamazlar."
Vekilin meslek sırrını saklama yükümlülüğü vekâlet ilişkisi sona erince biter mi?,"Hayır, vekâlet ilişkisi sona erdikten sonra da devam eder."
"Vekil, takip ettiği işin veya işlemin sonucuyla ilgili taahhütte bulunabilir mi?","Hayır, sonucuna yönelik hiçbir taahhütte bulunamaz."
Başka bir vekil tarafından takip edildiği bilinen bir dosya hakkında dosya sahibiyle görüş alışverişinde bulunmanın istisnası nedir?,Dosya sahibinin bağımsız görüş alma veya vekilini değiştirme isteğini açıkça beyan etmesi.
"Yeni vekil atanan bir dosyada, eski vekilin dosya belgelerini teslim etme yükümlülüğü nedir?",Gerekli tüm belgeleri talep halinde gecikmeden yeni vekile iletmek.
Vekilin Kurum adına yazılı veya sözlü açıklama yapması yasak mıdır?,"Evet, vekil Kurum adına hiçbir açıklamada bulunamaz."
"Meslek kurallarına uymayan vekillere verilen, daha dikkatli olunması gerektiğini belirten ceza hangisidir?",Uyarma.
Kurum nezdindeki bir işlemde menfaati zıt taraflara vekillik edenlere hangi disiplin cezası verilir?,Kınama.
Geçici olarak vekillik faaliyetinden alıkoyma cezasının alt ve üst sınırı nedir?,Üç aydan az ve bir yıldan çok olamaz.
Vekâletname aslına aykırı örnek kullanarak işlem yapan vekile hangi disiplin cezası uygulanır?,Geçici olarak vekillik faaliyetinden alıkoyma.
Vekillikten çıkarma cezası hangi durumda uygulanır?,Geçici olarak alıkoyma cezası alıp da beş yıl içinde aynı cezayı gerektiren fiili işleyenlere.
Disiplin Kurulu toplam kaç üyeden oluşur?,Yedi ($7$) üyeden.
Disiplin Kurulu'nda kaç tane patent veya marka vekili üye bulunur?,Üç ($3$) üye.
Disiplin Kurulu üyeleri ne kadar süre için atanır?,Üç yıl için.
Disiplin Kurulu toplantı nisabı (en az hazır bulunması gereken üye sayısı) kaçtır?,En az dört ($4$) üye.
Disiplin Kurulu'nda oyların eşitliği halinde kimin oyu belirleyicidir?,Başkanın oyu çift sayılır.
Disiplin Kurulu sekretarya hizmetlerini hangi kurum yürütür?,Türk Patent ve Marka Kurumu.
Vekil hakkındaki şikâyetlerde kimlik bilgisi belirtilmesi zorunlu mudur?,"Evet, şikâyet eden ve edilenin kimlik bilgileri belirtilmelidir."
Disiplin soruşturmasında vekile savunma yapabilmesi için verilen süre en az kaç gündür?,En az yedi gün.
Vekil hakkında ceza mahkemesinde dava devam etmesi disiplin soruşturmasını durdurur mu?,"Hayır, disiplin soruşturmasını geciktirmez."
Disiplin Kurulu kararlarına karşı hangi yargı yoluna başvurulabilir?,İdari yargı.
Disiplin Kurulu'nun fiili öğrendiği tarihten itibaren ne kadar süre içinde soruşturma başlatması gerekir?,Üç ay içinde.
Cezayı gerektiren fiilin işlendiği tarihten itibaren kaç yıl içinde disiplin cezası verilmezse yetki zamanaşımına uğrar?,İki yıl içinde.
Vekillik sınavı başvuruları hangi platform üzerinden gerçekleştirilir?,e-Devlet Kapısı üzerinden.
Yönetmeliğe göre 'Aday' kime denir?,Patent vekilliği ve/veya marka vekilliği sınavına başvuran gerçek kişilere.
Vekillik unvan ve tür değişikliği bildirimi nereden yapılır?,Kurumun elektronik başvuru sistemi üzerinden.
Sicile kayıt olan vekillere vekillik belgesi kaç kez ücretsiz verilir?,Bir defaya mahsus.
Vekillik meslek kuralları hakkında bilgi sahibi olmadığını beyan etmek bir mazeret sayılır mı?,"Hayır, vekilin meslek kurallarını bildiği kabul edilir."
Vekilin reklam yapma hakkının temel koşulu nedir?,"Gerçek, tarafsız, dürüst ve meslek sırrına uygun olması."
Müvekkilinin açık izni olmadan kimliğini açıklamak reklam hakkı kapsamında mıdır?,"Hayır, reklam hakkının kapsamı dışındadır."
"Vekil, kendi hizmeti dışındaki bir sebeple müvekkilden ücret talep edebilir mi?","Hayır, kendi hizmeti ve resmi harçlar dışında ücret talep edemez."
Bir meslektaşının mesleki tutumu hakkındaki şikâyetler hangi makama yapılmalıdır?,Sadece Türk Patent ve Marka Kurumuna.
Disiplin Kurulu üyeliği mazeretsiz üst üste kaç toplantıya katılmama durumunda sona erer?,Üst üste iki toplantıya katılmama.
Disiplin Kurulu Başkanı'nın yokluğunda Kurula kim başkanlık eder?,Başkan Yardımcısı.
Kınama cezası alıp beş yıl içinde aynı cezayı gerektiren fiili işleyene hangi ceza verilir?,Geçici olarak vekillik faaliyetinden alıkoyma.
Uyarma cezası alıp iki yıl içinde aynı fiili işleyen vekile hangi ceza verilir?,Kınama.
Tüzel kişi vekil adına Kurum nezdinde işlem yapma yetkisi kime aittir?,Vekil olan gerçek kişilere.
Vekilin adres değişikliği bildirimi nasıl yapılır?,Elektronik başvuru sistemi üzerinden vekilin beyanıyla.
Genel yeterlik sınavında başarılı olan adaylar hangi sınava girmeye hak kazanır?,Mesleki yeterlik sınavına.
Vekil sınavlarına başvuruda adli sicil kaydı beyanı zorunlu mudur?,"Evet, sabıka kaydına ilişkin beyan istenir."
Sınav Yürütme Komisyonu üyeleri kim tarafından görevlendirilir?,Kurum Başkanı tarafından.
Sınav sorularını ve cevap anahtarlarını hangi komisyon hazırlar?,Sınav Yürütme Komisyonu.
Disiplin soruşturması açılmasına yer olmadığına kim karar verir?,Disiplin Kurulu.
Vekilin müvekkiline yüklendiği iş ile ilgili görüşünü açıklama hakkı var mıdır?,"Evet, görüşünü açıklayabilir."
"Vekilin, müvekkili bilgilendirme yükümlülüğü hangi nitelikte olmalıdır?","Zamanında, tam ve doğru bir şekilde."
Geçici bir süre mesleğini yapamayacak olan vekilin öncelikli görevi nedir?,Müvekkillerini derhal bilgilendirmek ve çıkarlarını koruyacak önlemler almak.
Patent vekili tanımına göre yetki alanındaki konular nelerdir?,"Patent, faydalı model, tasarım ve entegre devre topoğrafyaları."
Sınav Koordinasyon Komisyonu en az kaç üyeden oluşur?,En az üç ($3$) üyeden.
Disiplin Kurulu üyelerinden birine karşı görevle ilgili suçtan dava açılırsa ne olur?,"Dava sonuna kadar toplantılara katılamaz, yerine yedek üye gelir."
"Vekil, uzmanlaşacak olan çalışanının eğitiminden sorumlu mudur?","Evet, doğru ve uygun eğitilmesi görevini üstlenmek zorundadır."
Gerçeğe aykırı beyanda bulunduğu tespit edilenlerin Sicil kaydı yapılır mı?,"Hayır, Sicile kayıtları yapılmaz ve sınavları geçersiz sayılır."
Disiplin cezaları ne zaman hüküm ifade etmeye başlar?,Verildiği tarihten itibaren.